orthogroup	representative_product	representative_product_count	representative_product_fraction	annotated_gene_count	total_gene_count	product_diversity	species_count	species_fraction
OG0000000	Retrovirus-related Pol polyprotein from transposon TNT 1-94	543	0.6839	794	882	130	24	0.8889
OG0000001	Pro-Pol polyprotein	3	0.0044	687	806	672	20	0.7407
OG0000002	Probable RNA-directed DNA polymerase from transposon X-element	67	0.2991	224	283	135	20	0.7407
OG0000003	Retrovirus-related Pol polyprotein from transposon 17.6	118	0.1705	692	720	284	20	0.7407
OG0000004	uncharacterized protein K02A2.6-like	412	0.5222	789	801	218	23	0.8519
OG0000005	uncharacterized protein MAL8P1.12-like	8	0.0200	401	419	330	12	0.4444
OG0000006	Probable RNA-directed DNA polymerase from transposon X-element	70	0.2929	239	415	115	14	0.5185
OG0000007	Uncharacterized protein F54H12.2	234	0.6207	377	377	8	12	0.4444
OG0000008	ribonuclease H-like	10	0.0181	551	559	353	17	0.6296
OG0000009	Craniofacial development protein 2	13	0.1287	101	136	48	13	0.4815
OG0000010	Transposable element Tcb1 transposase	110	0.2376	463	522	90	21	0.7778
OG0000011	Cell adhesion molecule Dscam1	260	0.5428	479	480	36	27	1.0000
OG0000012	cyclin-dependent kinase 2-interacting protein-like	2	0.0053	377	408	375	12	0.4444
OG0000013	cuticle protein 10.9-like	117	0.2308	507	507	135	11	0.4074
OG0000014	Cytochrome P450 3A24	44	0.0909	484	484	99	26	0.9630
OG0000015	Juvenile hormone esterase	85	0.2291	371	379	76	27	1.0000
OG0000016	Retrovirus-related Pol polyprotein from transposon 17.6	49	0.2168	226	296	24	4	0.1481
OG0000017	techylectin-5A-like	75	0.1777	422	423	76	25	0.9259
OG0000018	Cytochrome P450 2U1	109	0.2595	420	422	89	19	0.7037
OG0000019	U-scoloptoxin(01)-Tl1a	44	0.1229	358	415	173	27	1.0000
OG0000020	uncharacterized protein K02A2.6-like	29	0.0918	316	334	273	19	0.7037
OG0000021	cuticle protein 7-like	95	0.2351	404	404	93	9	0.3333
OG0000022	LINE-1 reverse transcriptase homolog	12	0.1319	91	110	60	15	0.5556
OG0000023	Chromatin modification-related protein YNG2	2	0.0096	208	239	198	18	0.6667
